feature,importance
brand,11.621051940981465
engine_liters,8.38118528401365
engine,7.305620286743752
int_col,6.535423994951157
mileage_squared,6.31073421162147
log_mileage,5.502966301670006
milage,5.321721876534724
ext_col,5.107352751481488
transmission,5.103774559855304
mileage_per_year,3.98688112047835
mileage_type,3.4585699392455496
engine_hp,2.8566317024970815
engine_cylinders,2.438730713892259
car_era,2.3264308895892754
car_age,2.2412152728460586
transmission_type,1.9494765551021247
hp_per_cylinder,1.9064476797695453
car_age_squared,1.6511481094601224
model_clean,1.5908465958683728
accident,1.4772199886927824
model_year,1.4472554080040767
model,1.4469207387658138
log_car_age,1.4460983248277044
fuel_type,1.4095839984450975
transmission_speeds,1.21586026459794
hp_per_liter,0.9692820551259539
luxury_score_per_age,0.9486722337658919
is_twin_turbo,0.8836363818380853
is_extended_length,0.7601111228645867
clean_title,0.7403741198086174
is_forced_induction,0.2770054665641745
is_special_series,0.23768021078991675
transmission_speeds_missing,0.20727423579806428
has_dual_shift,0.18892193754239192
is_luxury_trim,0.14924115183416636
positive_features_count,0.10272912093236193
is_electric_long_range,0.10140076475715241
is_high_performance,0.09589431860565777
is_turbo,0.08296092344363659
is_plugin_hybrid,0.08132147533842572
is_automatic,0.07549856010326081
is_gasoline,0.05884741095233507
